id,name,record_type,record_id,blob_id,created_at
3,attachment,Spree::Asset,1,3,2020-05-12 12:41:39.613619
4,attachment,Spree::Asset,2,4,2020-05-12 13:20:18.634783
5,attachment,Spree::Asset,3,5,2020-05-12 13:28:07.297782
6,attachment,Spree::Asset,4,6,2020-05-12 13:30:37.641680
8,video,Spree::Product,11,8,2020-05-12 14:05:11.067651
11,attachment,Spree::Asset,7,11,2020-05-12 14:57:19.732544
13,attachment,Spree::Asset,9,13,2020-05-12 14:58:02.748958
14,attachment,Spree::Asset,10,14,2020-05-12 15:00:06.242157
15,attachment,Spree::Asset,11,15,2020-05-12 15:00:18.539632
20,attachment,Spree::Asset,16,20,2020-07-09 09:46:03.964828
21,attachment,Spree::Asset,17,21,2020-08-10 08:04:14.857260
23,attachment,Spree::Asset,19,23,2020-08-10 08:40:29.994348
24,attachment,Spree::Asset,20,24,2020-08-10 08:41:43.955199
25,attachment,Spree::Asset,21,25,2020-08-10 08:42:47.876621
27,attachment,Spree::Asset,23,27,2020-08-10 08:44:54.187026
29,attachment,Spree::Asset,25,29,2020-08-10 08:55:18.409718
30,attachment,Spree::Asset,26,30,2020-08-10 08:56:22.304139
31,attachment,Spree::Asset,27,31,2020-08-10 09:08:59.270102
32,attachment,Spree::Asset,28,32,2020-08-10 09:09:39.916008
33,attachment,Spree::Asset,29,33,2020-08-10 09:11:18.529856
34,attachment,Spree::Asset,30,34,2020-08-10 09:14:22.586502
35,attachment,Spree::Asset,31,35,2020-08-10 09:14:43.785967
36,attachment,Spree::Asset,32,36,2020-08-10 09:31:41.429993
37,attachment,Spree::Asset,33,37,2020-08-10 09:31:53.853636
39,attachment,Spree::Asset,35,39,2020-08-10 09:35:35.813281
40,attachment,Spree::Asset,36,40,2020-08-10 09:35:52.461785
41,attachment,Spree::Asset,37,41,2020-08-10 09:47:32.842493
42,attachment,Spree::Asset,38,42,2020-08-10 09:49:41.418138
43,attachment,Spree::Asset,39,43,2020-08-10 09:52:09.828292
44,attachment,Spree::Asset,40,44,2020-08-10 10:09:38.601123
45,attachment,Spree::Asset,41,45,2020-08-10 10:09:48.894336
46,attachment,Spree::Asset,42,46,2020-08-10 10:11:06.819669
47,attachment,Spree::Asset,43,47,2020-08-10 10:11:17.442050
48,attachment,Spree::Asset,44,48,2020-08-10 10:12:16.601579
49,attachment,Spree::Asset,45,49,2020-08-10 10:21:30.731749
50,attachment,Spree::Asset,46,50,2020-08-10 10:23:30.710745
51,attachment,Spree::Asset,47,51,2020-08-10 10:30:20.911864
52,attachment,Spree::Asset,48,52,2020-08-10 10:34:13.031000
53,attachment,Spree::Asset,49,53,2020-08-10 10:35:57.735198
54,attachment,Spree::Asset,50,54,2020-08-10 10:37:18.484707
