id,key,filename,content_type,metadata,byte_size,checksum,created_at
1,sh3fw0gzt4so48w7n6u5ozsifp9w,2712 (133).JPG,image/jpeg,"{""identified"":true,""width"":1710,""height"":1710,""analyzed"":true}",175532,fSGjFhtCFmy5zPmCjhSTXA==,2020-05-12 12:38:06.155826
3,wqs0kw84actqw3ozgr7q8rxut6z4,2712 (133).JPG,image/jpeg,"{""identified"":true,""width"":1710,""height"":1710,""analyzed"":true}",175532,fSGjFhtCFmy5zPmCjhSTXA==,2020-05-12 12:41:39.612316
4,qyp9i47g3s83qx0gknwp5nhagiqm,2712 (131).JPG,image/jpeg,"{""identified"":true,""width"":1834,""height"":1834,""analyzed"":true}",204546,zqpLmZ2RsQy5Vp5lSZQNKA==,2020-05-12 13:20:18.633074
5,i34r77848er7ym80cdpeodqdxbkv,2712 (88).JPG,image/jpeg,"{""identified"":true,""width"":2026,""height"":2026,""analyzed"":true}",173599,m208ig1gRTZUeYTp4Rdwaw==,2020-05-12 13:28:07.296545
6,40jlk3krzx5s920pf5f7tl4srs1b,2501 (273).JPG,image/jpeg,"{""identified"":true,""width"":1495,""height"":1495,""analyzed"":true}",145603,aEqucxlFrP+5v/3D8xHz6w==,2020-05-12 13:30:37.640377
7,zu2vh9aey4lw977wabp0l5lmp3b2,ds-2ce16f1t-it5.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3304911,yisTX8TQfJh8ZWek4QsJ1Q==,2020-05-12 14:05:10.973805
8,wb82aec34cbk1f2tey3loijdhu4b,ds-2ce16f1t-it5.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3304911,yisTX8TQfJh8ZWek4QsJ1Q==,2020-05-12 14:05:11.066358
11,94aybqgeyx9wia8an0c2bsh9tosk,2712 (144).JPG,image/jpeg,"{""identified"":true,""width"":1630,""height"":1630,""analyzed"":true}",155217,Q3CcSB13Ej8/89nLYlO28A==,2020-05-12 14:57:19.730877
13,w28rerij6cw9eaxdzjw7i4bcsqss,2712 (145).JPG,image/jpeg,"{""identified"":true,""width"":1653,""height"":1653,""analyzed"":true}",163937,PFJ/op4eFWWuAHCWyoVjLw==,2020-05-12 14:58:02.747636
14,wbd55xsv95nho8por70akamcbf7i,2712 (144).JPG,image/jpeg,"{""identified"":true,""width"":1630,""height"":1630,""analyzed"":true}",155217,Q3CcSB13Ej8/89nLYlO28A==,2020-05-12 15:00:06.239856
15,m686aobt286pvr4rhcnqcgybh97j,2712 (145).JPG,image/jpeg,"{""identified"":true,""width"":1653,""height"":1653,""analyzed"":true}",163937,PFJ/op4eFWWuAHCWyoVjLw==,2020-05-12 15:00:18.538395
20,pd5g013nff3a4mqhrccu3zq7arf0,Screenshot_1.jpg,image/jpeg,"{""identified"":true,""width"":798,""height"":534,""analyzed"":true}",43981,kx2VYf7IaWofCmY9TPKVRQ==,2020-07-09 09:46:03.962968
21,6yv5mamg6o20jnnnh7gokl15ypjg,1212 (45).JPG,image/jpeg,"{""identified"":true,""width"":2298,""height"":2298,""analyzed"":true}",674828,i/17vT6HePlGam71nOFZNw==,2020-08-10 08:04:14.854823
23,tbsj0ndha0mnvc4fcu9u6fjmjhkv,1212 (8).JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":2592,""analyzed"":true}",789419,mV1tpIb5mxzJczxx9TWO7A==,2020-08-10 08:40:29.992784
24,6j3h9ijiekbur4iw35omdein37m6,1212 (4).JPG,image/jpeg,"{""identified"":true,""width"":2563,""height"":2563,""analyzed"":true}",784737,+iNvdd8WbXa7cz0/RXJOXg==,2020-08-10 08:41:43.952185
25,3eo6xml5l2pixhhbn1rx3in72bef,1212 (9).JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":2592,""analyzed"":true}",835130,XQW2ZxEDoVbllm32pp7MbQ==,2020-08-10 08:42:47.875077
27,pp7g7fit63uvgo26fuq9impv2ult,1212 (10).JPG,image/jpeg,"{""identified"":true,""width"":2563,""height"":2563,""analyzed"":true}",400029,Y5F1uz4in+z9N8slq9EkZA==,2020-08-10 08:44:54.185389
29,ehhi8ckvbns0cvwqgbqmglghtfxu,1212 (11).JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":2592,""analyzed"":true}",816088,naVpYgUcuJLcWjCkvNGpJg==,2020-08-10 08:55:18.408188
