ID,post_author,post_date,post_date_gmt,post_content,post_title,post_excerpt,post_status,comment_status,ping_status,post_password,post_name,to_ping,pinged,post_modified,post_modified_gmt,post_content_filtered,post_parent,guid,menu_order,post_type,post_mime_type,comment_count
299,1,"2019-03-07 00:49:06","2019-03-06 22:49:06","SAMSUNG mikro SD 128 Gb карта пам'яті","SAMSUNG mikro SD 128 Gb карта пам'яті",,publish,closed,closed,,samsung-mikro-sd-128-gb-%d0%ba%d0%b0%d1%80%d1%82%d0%b0-%d0%bf%d0%b0%d0%bc%d1%8f%d1%82%d1%96,,,"2019-07-11 14:40:22","2019-07-11 12:40:22",,0,http://videoko.kos/product/samsung-mikro-sd-128-gb-%d0%ba%d0%b0%d1%80%d1%82%d0%b0-%d0%bf%d0%b0%d0%bc%d1%8f%d1%82%d1%96/,0,product,,0
300,1,"2019-03-07 00:49:06","2019-03-06 22:49:06","SAMSUNG mikro SD 64 Gb карта пам'яті","SAMSUNG mikro SD 64 Gb карта пам'яті",,publish,closed,closed,,samsung-mikro-sd-64-gb-%d0%ba%d0%b0%d1%80%d1%82%d0%b0-%d0%bf%d0%b0%d0%bc%d1%8f%d1%82%d1%96,,,"2019-07-11 14:39:35","2019-07-11 12:39:35",,0,http://videoko.kos/product/samsung-mikro-sd-64-gb-%d0%ba%d0%b0%d1%80%d1%82%d0%b0-%d0%bf%d0%b0%d0%bc%d1%8f%d1%82%d1%96/,0,product,,0
304,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","1.0 Мп High-performance CMOS, Turbo HD день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c Ік, f = 2.8 мм (кут огляду 92 °); Функції: SMART ІК; Виходи: 1-TurboHD, Ік підсвічування 20 метрів. DC 12В / 4Вт, ф98х65мм, 130г.","1 Мп Turbo HD відеокамера DS-2CE56C0T-IRMM (2.8 мм)","1.0 мегапіксельна high-performance CMOS матриця",publish,closed,closed,,1-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56c0t-irmm-2-8-%d0%bc%d0%bc,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/1-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56c0t-irmm-2-8-%d0%bc%d0%bc/,0,product,,0
306,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","1.0 Мп High-performance CMOS, Turbo HD день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c Іч, f = 3.6 мм (кут огляду 71 °); 1-TurboHD вихід, EXIR ІЧ підсвічування 80 метрів. IP66, DC 12В / 5Вт, 86х82x220мм, 430г","1.0 Мп Turbo HD відеокамера DS-2CE16C0T-IT5 (3.6 мм)","Адаптована під HDTVI технологію Відео вихід - HD720pРежим день / ніч (ICR)Exir ІЧІЧ підсвічування - 80 метрівIP66",publish,closed,closed,,1-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16c0t-it5-3-6-%d0%bc%d0%bc,,,"2019-05-17 12:25:07","2019-05-17 10:25:07",,0,http://videoko.kos/product/1-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16c0t-it5-3-6-%d0%bc%d0%bc/,0,product,,0
307,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","1.0 Мп High-performance CMOS, Turbo HD день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c Іч, f = 2.8 мм (кут огляду 92 °); DNR, SMART ІЧ; 1-TurboHD вихід, Іч підсвічування 20 метрів. IP66, DC 12В / 4Вт, ф89х59мм, 240г.","1.0 Мп Turbo HD відеокамера DS-2CE56C0T-IRM (2.8 мм)","Адаптована під HDTVI технологію
Відео вихід - HD720p
Режим день / ніч (ICR)
DNR, Smart ІЧ
ІЧ підсвічування - 20 метрів
IP66",publish,closed,closed,,1-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56c0t-irm-2-8-%d0%bc%d0%bc,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/1-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56c0t-irm-2-8-%d0%bc%d0%bc/,0,product,,0
308,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","1.0 Мп High-performance CMOS, Turbo HD день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c Іч, f = 2.8 мм (кут огляду 92 °); 1-TurboHD вихід, EXIR ІЧ підсвічування 40 метрів. IP66, DC 12В / 4Вт, ф114х89 мм, 260г","1.0 Мп Turbo HD відеокамера DS-2CE56C0T-IRM (3.6 мм)","Адаптована під HDTVI технологію
Відео вихід - HD720p
Режим день / ніч (ICR)
Exir ІЧ
ІЧ підсвічування - 40 метрів
IP66",publish,closed,closed,,1-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56c0t-irm-3-6-%d0%bc%d0%bc,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/1-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56c0t-irm-3-6-%d0%bc%d0%bc/,0,product,,0
310,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2 Мп High-performance CMOS, Turbo HD день / ніч (ICR) відеокамера, 0.1 Лк / F1.2 (день), 0 Лк c Іч, f = 2.8 мм (кут огляду 106 °); Функції: OSD меню, BLC, 3D-DNR, AGC, SMART ІЧ; Виходи: 1-TurboHD. Іч підсвічування 20 метрів. DC 12В / 3Вт, ф98х65мм, 130г.","2 Мп Turbo HD відеокамера DS-2CE56D1T-IRMM (2.8 мм)","Відео вихід - 1080p
Режим день / ніч (ICR)
DNR, Smart ІЧ
ІЧ підсвічування - 20 метрів",publish,closed,closed,,2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-irmm-2-8-%d0%bc%d0%bc,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-irmm-2-8-%d0%bc%d0%bc/,0,product,,0
311,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2 Мп Turbo HD день / ніч (ICR) відеокамера, 1 / 2.7 ""Progressive Scan CMOS, 0.1 Лк / F1.2 (день), 0 Лк c ІЧ, f = 2.8-12 мм (кут огляду 102 ° -35 °) Функції: 3D-DNR, BLC, Smart ІЧ; OSD меню. ІЧ підсвічування 30 метрів. DC 12В / 4Вт, ф136x101мм","2 Мп Turbo HD відеокамера DS-2CE56D1T-VFIR","Адаптована під HDTVI технологію
Відео вихід - 1080p
Режим день / ніч (ICR)
DNR, Smart ІЧ
ІЧ підсвічування - 40 метрів",publish,closed,closed,,2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-vfir,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-vfir/,0,product,,0
312,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2 Мп Turbo HD день / ніч (ICR) відеокамера, 1 / 2.7 ""Progressive Scan CMOS, 0.1 Лк / F1.2 (день), 0 Лк c Іч, f = 2.8-12 мм (кут огляду 102 ° -35 °) Функції: 3D-DNR, BLC, Smart ІЧ; OSD меню. Іч підсвічування 40 метрів. IP66, DC 12В / 4Вт, ф130x102мм","2 Мп Turbo HD відеокамера DS-2CE56D1T-VFIR3","Адаптована під HDTVI технологію
Відео вихід - 1080p
Режим день / ніч (ICR)
DNR, Smart ІЧ
ІЧ підсвічування - 40 метрів
IP66",publish,closed,closed,,2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-vfir3,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-vfir3/,0,product,,0
313,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2 Мп Turbo HD день / ніч (ICR) відеокамера, 1 / 2.7 ""Progressive Scan CMOS, 0.01 Лк / F1.2 (день), 0 Лк c Іч, f = 2.8-12 мм (кут огляду 114 ° -35 °) Функції: 3D-DNR, BLC, Smart ІЧ; OSD меню. ІЧ підсвічування 40 метрів. IP66, IK10, DC 12В / 3Вт, ф145x124мм","2 Мп Turbo HD відеокамера DS-2CE56D1T-VPIR3","2 Мп high-performance CMOS
Адаптована під HDTVI технологію
Відео вихід - 1080p
Режим день / ніч (ICR)
DNR, Smart ІК
ІК підсвічування - 40 метрів
IP66, IK10
OSD меню",publish,closed,closed,,2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-vpir3,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/2-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d1t-vpir3/,0,product,,0
316,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2.0 Мп мультиформатна Turbo HD відеокамера; Підтримка форматів: TVI / AHD / CVI / CVBS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Ік; Об'єктив: f = 3.6 мм (кут огляду 82 °); Функції: день / ніч (ICR), EXIR ІК підсвічування 80 метрів; IP66, DC 12В / 6Вт, 86х82x220мм, 430г","2.0 Мп Turbo HD відеокамера DS-2CE16D0T-IT5F (3.6 мм)","2 МП High-performance CMOS
Підтримка форматів: TVI / AHD / CVI / CVBS
Режим день / ніч (ICR)
Exir ІЧ
ІЧ підсвічування - 80 метрів
IP66",publish,closed,closed,,2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16d0t-it5f-3-6-%d0%bc%d0%bc,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16d0t-it5f-3-6-%d0%bc%d0%bc/,0,product,,0
320,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2.0 Мп мультиформатна Turbo HD відеокамера; Підтримка форматів: TVI / AHD / CVI / CVBS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Іч; Об'єктив: f = 2.8 мм (кут огляду 103 °); Функції: день / ніч (ICR), 2D-DNR, SMART ІЧ; Іч підсвічування 20 метрів. IP66, DC 12В / 4Вт, ф89х59мм, 340г.","2.0 Мп Turbo HD відеокамера DS-2CE56D0T-IRMF (2.8 мм)","2 МП High-performance CMOS
Режим день / ніч (ICR)
Smart ІК підсвічування - 20 метрів
IP66
Підтримка форматів: TVI / AHD / CVI / CVBS;",publish,closed,closed,,2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d0t-irmf-2-8-%d0%bc%d0%bc,,,"2019-07-26 14:30:44","2019-07-26 12:30:44",,0,http://videoko.kos/product/2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d0t-irmf-2-8-%d0%bc%d0%bc/,0,product,,0
322,1,"2019-03-07 01:38:12","2019-03-06 23:38:12","2.0 Мп мультиформатна Turbo HD відеокамера; Підтримка форматів: TVI / AHD / CVI / CVBS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Іч; Об'єктив: f = 2.8 мм (кут огляду 103 °); EXIR ІЧ підсвічування 40 метрів; Функції: день / ніч (ICR); IP66, DC 12В / 4Вт, ф110х93 мм, 350г","2.0 Мп Turbo HD відеокамера DS-2CE56D0T-IT3F (2.8 мм)","Підтримка форматів: TVI / AHD / CVI / CVBS
Відео вихід - HD1080p
Режим день / ніч (ICR)
Смарт ІЧ
ІЧ підсвічування - 40 метрів
IP66",publish,closed,closed,,2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d0t-it3f-2-8-%d0%bc%d0%bc,,,"2019-03-07 01:38:12","2019-03-06 23:38:12",,0,http://videoko.kos/product/2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56d0t-it3f-2-8-%d0%bc%d0%bc/,0,product,,0
315,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","2.0 Мп мультиформатна Turbo HD відеокамера; Підтримка форматів: TVI / AHD / CVI / CVBS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Іч; Об'єктив: f = 3.6 мм (кут огляду 82 °); Функції: день / ніч (ICR), SMART ІЧ; 1-TurboHD вихід; Іч підсвічування 20 метрів; IP66, DC 12В / 4Вт, ф70х150мм, 400г","2.0 Мп Turbo HD відеокамера DS-2CE16D0T-IRF (3.6 мм)","2 МП High-performance CMOS
HDTVI відео вихід - HD1080p
Режим день / ніч (ICR)
Smart ІЧ
ІЧ підсвічування - 20 метрів
IP66
Підтримка форматів: TVI / AHD / CVI / CVBS",publish,closed,closed,,2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16d0t-irf-3-6-%d0%bc%d0%bc,,,"2019-03-07 01:38:34","2019-03-06 23:38:34",,0,http://videoko.kos/product/2-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16d0t-irf-3-6-%d0%bc%d0%bc/,0,product,,0
324,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","3.0 Мп Exir Turbo HD відеокамера; Матриця: 1/3 ""CMOS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Іч; Об'єктив: f = 3.6 мм (кут огляду 67 °); Функції: BLC, день / ніч (ICR); Інтерфейси : 1-BNC TurboHD вихід; EXIR ІчЧпідсвічування 80 метрів, IP66, DC 12В / 5Вт, 86х81x226 мм, 680г","3.0 Мп Turbo HD відеокамера DS-2CE16F1T-IT5 (3.6 мм)","Розрішення 3МП
Адаптована під HDTVI технологію
HDTVI вихід
Режим день / ніч (ICR)
Exir ІЧ підсвічування - 80 метрів
IP66",publish,closed,closed,,3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16f1t-it5-3-6-%d0%bc%d0%bc,,,"2019-07-26 14:35:35","2019-07-26 12:35:35",,0,http://videoko.kos/product/3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16f1t-it5-3-6-%d0%bc%d0%bc/,0,product,,0
326,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","3.0 Мп WDR High-performance CMOS, день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c Іч, f = 3.6 мм (кут огляду 67.8 °); OSD меню, 1-TurboHD вихід, EXIR ІЧ підсвічування 80 метрів. IP66, DC 12В / 5Вт, 86х82x220мм, 680г","3.0 Мп Turbo HD відеокамера DS-2CE16F7T-IT5 (3.6 мм)","3 МП High-performance CMOS
HDTVI відео вихід - розрішення до 3МП
Режим день / ніч (ICR)
OSD меню, DNR, Smart ІЧ
WDR 120dB
Exir ІЧ підсвічування - 80 метрів
IP66",publish,closed,closed,,3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16f7t-it5-3-6-%d0%bc%d0%bc,,,"2019-03-07 01:38:34","2019-03-06 23:38:34",,0,http://videoko.kos/product/3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16f7t-it5-3-6-%d0%bc%d0%bc/,0,product,,0
328,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","3.0 Мп WDR High-performance CMOS, день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c ІЧ, f = 3.6 мм (кут огляду 67.8 °); OSD меню, 1-TurboHD вихід, EXIR ІЧ підсвічування 40 метрів. IP66, DC 12В / 5Вт, ф110х93 мм, 350г","3.0 Мп Turbo HD відеокамера DS-2CE56F7T-IT3 (3.6 мм)","3 МП High-performance CMOS
HDTVI відео вихід - розрішення до 3МП
Режим день / ніч (ICR)
OSD меню, DNR, Smart ІЧ
WDR 120dB
Exir ІЧ підсвічування - 40 метрів
IP66",publish,closed,closed,,3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56f7t-it3-3-6-%d0%bc%d0%bc,,,"2019-03-07 01:38:34","2019-03-06 23:38:34",,0,http://videoko.kos/product/3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56f7t-it3-3-6-%d0%bc%d0%bc/,0,product,,0
330,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","3.0 Мп WDR High-performance CMOS, день / ніч (ICR) відеокамера, 0.01 Лк / F1.2 (день), 0 Лк c ІЧ, f = 2.8 мм (кут огляду 84 °); OSD меню, 1-TurboHD вихід, EXIR ІЧ підсвічування 10-20 метрів. IP66, DC 12В / 5Вт, 91х82х63 мм, 350г","3.0 Мп Turbo HD відеокамера DS-2CE56F7T-ITM (2.8 мм)","3 МП High-performance CMOS
HDTVI відео вихід - розрішення до 3МП
Режим OSD меню, DNR, Smart ІЧ
WDR 120dB
Exir ІЧ підсвічування: 10 - 20 метрів
IP66",publish,closed,closed,,3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56f7t-itm-2-8-%d0%bc%d0%bc,,,"2019-03-07 01:38:34","2019-03-06 23:38:34",,0,http://videoko.kos/product/3-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce56f7t-itm-2-8-%d0%bc%d0%bc/,0,product,,0
332,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","5 Мп ""риб'яче око"" IP відеокамера; Матриця: progressive scan CMOS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Ік; об'єктив ""риб'яче око"" f = 1.1мм (кут огляду 186 °); Функції: день / ніч, OSD меню; Аудіо: вбудований мікрофон, 1вих; Іч підсвічування до 20 метрів. DC 12В / 6Вт, ф120х55 мм","5.0 Мп Turbo HD відеокамера DS-2CC52H1T-FITS (1.1 мм)","5 МП High-performance CMOS

HDTVI відео вихід - розрішення 5Мп

ІЧ фільтр

OSD меню

Вбудований мікрофон

Управління по коаксіалу

HIKVISION-С",publish,closed,closed,,5-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2cc52h1t-fits-1-1-%d0%bc%d0%bc,,,"2019-07-26 15:25:25","2019-07-26 13:25:25",,0,http://videoko.kos/product/5-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2cc52h1t-fits-1-1-%d0%bc%d0%bc/,0,product,,0
333,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","5.0 Мп Turbo HD відеокамера; Матриця: 1/3 ""CMOS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Іч; Об'єктив: f = 3.6 мм (кут огляду 86 °); Функції: BLC, AGC, день / ніч (ICR) , OSD-меню; інтерфейси: 1-BNC TurboHD вихід; ІЧ підсвічування 20 метрів, IP67, DC 12В / 5Вт, 58х61x163 мм, 350г","5.0 Мп Turbo HD відеокамера DS-2CE16H1T-IT (3.6 мм)","5 МП High-performance CMOS
HDTVI відео вихід - розрішення 5МП
Режим день / ніч (ICR)
OSD меню, DNR, Smart ІЧ
ІЧ підсвічування - 20 метрів
IP67",publish,closed,closed,,5-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16h1t-it-3-6-%d0%bc%d0%bc,,,"2019-03-07 01:38:34","2019-03-06 23:38:34",,0,http://videoko.kos/product/5-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16h1t-it-3-6-%d0%bc%d0%bc/,0,product,,0
334,1,"2019-03-07 01:38:34","2019-03-06 23:38:34","5.0 Мп Turbo HD відеокамера DS-2CE16H1T-IT3Z #1
5.0 Мп Turbo HD відеокамера; Матриця: 1/3 ""CMOS; Чутливість: 0.01 Лк / F1.2 (день), 0 Лк c Іч; Моторизований об'єктив: f = 2.8-12 мм (кут огляду 27 ° -87 °); Функції: BLC, AGC, день / ніч (ICR), OSD-меню; інтерфейси: 1-BNC TurboHD вихід; ІЧ підсвічування 40 метрів, IP67, DC 12В / 6Вт, 92х85x270 мм, 900г","5.0 Мп Turbo HD відеокамера DS-2CE16H1T-IT3Z","5 МП High-performance CMOS
HDTVI відео вихід - розрішення 5МП
Моторизований об'єктив: f = 2.8-12 мм
Режим день / ніч (ICR)
OSD меню, DNR, Smart ІЧ
ІЧ підсвічування - 40 метрів
IP67",publish,closed,closed,,5-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16h1t-it3z,,,"2019-03-07 01:38:34","2019-03-06 23:38:34",,0,http://videoko.kos/product/5-0-%d0%bc%d0%bf-turbo-hd-%d0%b2%d1%96%d0%b4%d0%b5%d0%be%d0%ba%d0%b0%d0%bc%d0%b5%d1%80%d0%b0-ds-2ce16h1t-it3z/,0,product,,0
